title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Fell On Black Days,Soundgarden,1wlKw9NAWVWpx7OIAyg9EA,0.574,0.739,4,-5.745,0,0.0271,0.00152,0.000328,0.141,0.514,101.069,11
Sweet Emotion,Aerosmith,24NwBd5vZ2CK8VOQVnqdxr,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,13
Die MF Die,Dope,5bU4KX47KqtDKKaLM4QCzh,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02,11
Wonderwall - Remastered,Oasis,7ygpwy2qP3NbrxVkHvUhXY,0.375,0.893,2,-4.097,1,0.0406,0.000509,0.0,0.187,0.434,174.323,4
Breath,Breaking Benjamin,4JXfNOePhdgMOI7KZ1L25U,0.347,0.868,5,-4.145,0,0.0467,0.00012,0.000273,0.0845,0.313,182.851,4
Sugar,System Of A Down,31RTFPrB7wmYBhlkM2ILXG,0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,18
Du hast,Rammstein,5awDvzxWfd53SSrsRZ8pXO,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,7
Possum Kingdom,Toadies,56SkdBKyR2zOkjk6wVFI9s,0.643,0.726,9,-9.314,1,0.0255,0.000772,0.00969,0.07,0.925,100.687,1
Sleep Now In the Fire,Rage Against The Machine,1MQTmpYOZ6fcMQc56Hdo7T,0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,6
Breezeblocks,alt-J,3Wu6MhnZuLuzfH5wFC2g9i,0.611,0.643,5,-7.372,1,0.037,0.117,0.00101,0.131,0.258,74.991,13
Car Radio,Twenty One Pilots,5cbpoIu3YjoOwbBDGUEp3P,0.766,0.519,9,-7.355,0,0.0366,0.098,0.0,0.0855,0.612,129.972,7
Creep,Radiohead,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,13
Nutshell,Alice In Chains,2JuasWPUodaUxf5nwNpciQ,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,11
Bad Moon Rising,Creedence Clearwater Revival,20OFwXhEXf12DzwXmaV7fj,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,4
Baba O'Riley,The Who,3qiyyUfYe7CRYLucrPmulD,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,13
Use Somebody,Kings of Leon,2TYC9SaRhYypUQzB1ZVTG2,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4
Metal Health (Bang Your Head),Quiet Riot,28clONjZmul6FjfO6tZQDE,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,6
MONSTERS,Shinedown,1qAuIPMALdFtGv2Ymjy5l0,0.487,0.9,5,-4.54,1,0.0529,0.00204,6.42e-06,0.11,0.377,149.959,4
T.N.T.,AC/DC,7LRMbd3LEoV5wZJvXT1Lwb,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,2
Don't Go Breaking My Heart,"Elton John, Kiki Dee",5pKJtX4wBeby9qIfFhyOJj,0.742,0.863,5,-7.823,1,0.038,0.177,5.59e-06,0.0699,0.776,131.193,1
Welcome to the Family,Avenged Sevenfold,0jqblvsI9LBY4irmLVqqEO,0.567,0.946,2,-3.973,0,0.0935,0.00267,0.0,0.0567,0.699,94.985,11
GET UP - Piano Version,Shinedown,6QPZWUwt1eKKwhEVyVj6mQ,0.551,0.75,0,-3.143,1,0.0383,0.418,0.0,0.132,0.383,150.078,6
Patience,Tame Impala,2drEUEg0TYQR6dDEHkpuPE,0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,6
Enter Sandman,Metallica,5sICkBXVmaCQk5aISGR3x1,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,11
Escape (The Pina Colada Song),Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,10
My Way,Limp Bizkit,2gSVKxPDww9Eep5rdvtdem,0.576,0.864,6,-3.981,1,0.0462,0.02,1.68e-06,0.683,0.609,97.225,12
Absolute Zero,Stone Sour,14EORgkbXqIx5K4Haucmnb,0.552,0.988,1,-2.555,0,0.0787,0.000108,0.309,0.846,0.619,139.941,12
Garden Grove,Sublime,5tFpkuwgFZQm3jv4PTX4VB,0.531,0.617,4,-6.111,0,0.0426,0.00225,0.000692,0.0296,0.549,81.64,11
The Boys Are Back In Town,Thin Lizzy,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,1
Judith,A Perfect Circle,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,11
Faint,Linkin Park,4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4
Come Together - Remastered 2009,The Beatles,2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,13
Comfortably Numb - 2011 Remastered Version,Pink Floyd,7Fg4jpwpkdkGCvq1rrXnvx,0.423,0.298,11,-15.453,0,0.0276,0.116,0.0685,0.0728,0.182,63.581,3
Afterlife,Avenged Sevenfold,7zAt4tdL44D3VuzsvM0N8n,0.487,0.949,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02,11
The Dirt (Est. 1981) [feat. Machine Gun Kelly],"Mötley Crüe, Machine Gun Kelly",0PloHvXx0nAIwVx1zYjm9F,0.434,0.828,1,-5.767,1,0.0662,0.000102,0.000225,0.104,0.37,166.045,4
Is This Love - 2018 Remaster,Whitesnake,3pHpV3pa96s4vuBP7sQq0V,0.263,0.759,0,-7.288,1,0.0431,0.0555,0.0,0.231,0.429,179.904,4
House of the Rising Sun,The Animals,4mn2kNTqiGLwaUR8JdhJ1l,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,11
Panama - 2015 Remaster,Van Halen,05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,4
Can't Stop,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,1
Live And Let Die,Guns N' Roses,0rFWuqFgHAfuzE8uSB9TWR,0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,4
Enemies,Shinedown,1SDl9wY1MqbpJQW0yKEWxL,0.507,0.966,1,-2.635,1,0.046,0.00159,0.0,0.336,0.502,136.035,4
Be Legendary,Pop Evil,3pOMQhSSzx6IZ96kMef6i1,0.548,0.945,4,-3.126,0,0.0519,5.4e-05,0.0421,0.199,0.383,93.96,11
Rock Of Ages,Def Leppard,2AmEv442DGwSxMGZ9XEvBA,0.706,0.785,11,-7.666,0,0.041,0.00802,0.0319,0.195,0.636,105.893,7
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,7rPzEczIS574IgPaiPieS3,0.688,0.329,0,-18.792,1,0.0399,0.0646,0.000495,0.22,0.761,104.116,17
Californication,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,11
Two Weeks,All That Remains,0XT70Wk9pP8JZkmJhfntuL,0.558,0.943,1,-4.81,0,0.0535,0.00191,4.38e-05,0.248,0.56,111.994,11
White Rabbit,Egypt Central,4QhSscYz3TPLEwD6lMezvG,0.49,0.887,1,-5.363,0,0.0787,0.00176,0.0,0.0564,0.598,175.975,4
Call Me,Shinedown,2nBWxgSZ79w9l6t2rUg6pl,0.413,0.445,1,-7.259,0,0.025,0.438,0.0,0.111,0.117,95.562,3
Everywhere - 2017 Remaster,Fleetwood Mac,254bXAqt3zP6P50BdQvEsq,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,10
Love-Hate-Sex-Pain,Godsmack,36QG29bbGuJkxNgzY6o9Mu,0.215,0.911,9,-4.715,1,0.0394,6.07e-05,3.47e-06,0.183,0.47,183.535,4
Ashes of Eden,Breaking Benjamin,7HjNOz8Y7H7uSySXuHNg1Y,0.241,0.534,3,-7.207,1,0.0321,0.0561,2.13e-06,0.103,0.277,159.974,4
Same Ol' Situation (S.O.S.),Mötley Crüe,6wdIe1ep26qiaIaiHF5b9F,0.498,0.984,2,-3.296,1,0.128,0.0363,2.96e-05,0.11,0.258,139.71,4
When You Were Young,The Killers,70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
Let It Be - Remastered 2009,The Beatles,7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,3
"Steady, As She Goes",The Raconteurs,4xlEKYv7HmC8zXoJIbpZKM,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,13
Failure,Breaking Benjamin,4wh0E9OwMCxcaIKTg0Mts9,0.462,0.89,1,-4.853,1,0.0382,2.99e-05,0.00909,0.0685,0.383,155.008,4
Outshined - Remastered,Soundgarden,4VwPsMcRt1HPVKIdcwY9Uj,0.485,0.841,2,-6.068,0,0.0307,0.000173,0.00686,0.125,0.551,94.867,11
Are You Ready,Disturbed,4zvqMZ6g4wKZaPpOQvoBpP,0.392,0.976,7,-2.189,1,0.107,0.000107,0.0,0.271,0.521,199.888,4
Hey Jude - Remastered 2015,The Beatles,0aym2LBJBk9DAYuHHutrIl,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,4
Sorry,Buckcherry,0EbnUc05YEKhZRKgbrZWpq,0.54,0.773,2,-3.627,1,0.0288,0.0315,0.0,0.176,0.381,130.952,6
Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,1LHZMWefF9502NPfArRfvP,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018,11
Twisted Transistor,Korn,05NpeTQWnzXS1d8ZqL4YFZ,0.581,0.983,5,-3.291,0,0.0636,0.00043,0.00654,0.0806,0.417,110.038,11
Living Dead Girl,Rob Zombie,10V8XpuyMoEcSMfM79WDET,0.518,0.948,6,-5.58,0,0.0683,0.00504,0.104,0.228,0.55,103.025,11
Somebody Told Me,The Killers,6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,7
Gold on the Ceiling,The Black Keys,5lN1EH25gdiqT1SFALMAq1,0.505,0.833,0,-4.632,1,0.0475,0.00772,7.9e-05,0.069,0.565,130.121,6
All Around Me,Flyleaf,1zN6ynJG4PdR61YWv4PQ3Y,0.473,0.871,9,-4.893,1,0.0456,0.0216,0.0,0.0525,0.47,146.975,4
Under and Over It,Five Finger Death Punch,35aYLuIWeFd7iM7rY3x5GB,0.468,0.996,11,-3.027,0,0.179,1.41e-05,0.0,0.26,0.094,75.978,11
Epic,Faith No More,4ReyTz0y3TGkX48wO3Llot,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,4
Somewhere I Belong,Linkin Park,3agtg0x11wPvLIWkYR39nZ,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4
Comatose,Skillet,5pRElcsPZrgZXkoON2o5Go,0.359,0.955,4,-2.323,0,0.12,0.00116,0.0,0.349,0.446,170.033,4
Whole Lotta Love - 1990 Remaster,Led Zeppelin,0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,18
My Own Summer (Shove It),Deftones,1158ckiB5S4cpsdYHDB9IF,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,6
Money - 2011 Remastered Version,Pink Floyd,7Gx2q0ueNwvDp2BOZYGCMO,0.461,0.428,11,-15.675,0,0.132,0.0165,0.000774,0.167,0.784,125.99,20
Civil War,Guns N' Roses,6i4Qi1mJxXjqNIL9HfJhRs,0.336,0.787,10,-8.803,0,0.0732,0.0793,0.0648,0.32,0.383,140.003,11
Push It,Static-X,6O7pihLJgeqxUnG7u9oYL2,0.557,0.978,0,-3.965,1,0.0493,0.000393,4.42e-06,0.287,0.499,149.887,4
Paranoid,Black Sabbath,1jzDzZWeSDBg5fhNc3tczV,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,11
Legendary,Skillet,2pYaGdqXBrl8MdvuwgtBb7,0.548,0.924,11,-4.48,0,0.0689,0.00033,1.42e-05,0.162,0.242,124.031,11
Brain Stew,Green Day,1nLnpLXvl68RZCSjfkyiaa,0.559,0.543,1,-5.429,1,0.302,0.00133,2e-05,0.0577,0.337,75.958,6
Life in the Fast Lane - 2013 Remaster,Eagles,6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,1
Song #3,Stone Sour,5jsDxDkJ1PqyYUWhDMr86B,0.481,0.945,1,-5.468,1,0.0813,0.00264,0.0,0.135,0.427,157.059,4
Bed Of Roses,Bon Jovi,1zng9uqqXoPkmU05nsAlsw,0.309,0.596,5,-5.599,1,0.0293,0.101,0.0,0.21,0.161,164.587,4
Dance With The Devil,Breaking Benjamin,10ASBwZsp7oUUDsJEYz3uS,0.345,0.929,3,-4.469,0,0.142,0.00015,0.00106,0.129,0.181,155.041,4
Hate My Life,Theory of a Deadman,21rrpIokftsRDF2StX3TcI,0.506,0.85,1,-4.039,1,0.0346,0.0208,0.0,0.244,0.462,125.867,6
Snow (Hey Oh),Red Hot Chili Peppers,2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,1
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,1PLMK1ui86iHHG3FM1N7ue,0.516,0.884,2,-3.706,0,0.0448,0.000254,0.000347,0.0478,0.448,107.96,11
Eye of the Tiger,Survivor,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,0
Nobody Praying For Me,Seether,3bq8WiQrEXMwPAibYs7tpu,0.541,0.916,7,-5.964,0,0.0612,0.00326,2.04e-06,0.0967,0.627,156.015,11
"Paint It, Black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
Gimme Shelter,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,0
Take Me To The Top,Mötley Crüe,6F7VPRyOTXYvEMUSaCq2n6,0.256,0.814,3,-6.578,1,0.0471,3.79e-06,0.206,0.122,0.549,169.599,4
School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,12
Nothing Else Matters,Metallica,0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,11
Rich Girl,Daryl Hall & John Oates,5E3P9e1hvjyIOlFyqNB5eD,0.598,0.643,5,-6.303,1,0.134,0.5,0.0,0.0435,0.823,167.971,10
Always,Bon Jovi,2RChe0r2cMoyOvuKobZy44,0.383,0.659,4,-5.558,1,0.0312,0.117,0.0,0.0778,0.327,140.795,4
Fat Bottomed Girls - 2011 Remaster,Queen,6IAVxNFi1W88UhDeyvOsdo,0.332,0.683,2,-7.679,1,0.0491,0.0322,6.51e-06,0.342,0.419,88.522,6
Tighten Up,The Black Keys,3C542UknrX76XSRXTyQ1Qg,0.517,0.711,6,-5.84,0,0.0627,0.000763,7.15e-06,0.568,0.582,108.846,12
Everlong,Foo Fighters,5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,4
The Hand That Feeds,Nine Inch Nails,4L5r9XNiWJ7cbqcIiNvVes,0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,6
Torn in Two,Breaking Benjamin,3IiMnjK7S2PlsPVMuAH7rU,0.354,0.943,5,-3.633,1,0.288,0.000113,0.0187,0.104,0.367,94.416,6
Radio,Rammstein,1D3oQLA2xghgE1agGmDlPT,0.652,0.894,0,-5.145,0,0.0409,0.00404,0.00381,0.124,0.76,132.03,15
CASTLE OF GLASS,Linkin Park,1r1fPuhj9H4VdXr7OK6FL5,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,11
Wish I Knew You,The Revivalists,2EWpa5XnAuSn0sIkSSIhYk,0.649,0.718,0,-6.593,0,0.0261,0.142,0.0713,0.124,0.718,101.034,0
Imagine - Remastered 2010,John Lennon,7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,3
Renegades Of Funk,Rage Against The Machine,5YBVDvTSSSiqv7KZDeUlXA,0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,15
Beast Of Burden - Remastered 1994,The Rolling Stones,77oU2rjC5XbjQfNe3bD6so,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,0
Leave Out All The Rest,Linkin Park,0sp00HSXkQyqTa6QqM0O8V,0.509,0.629,0,-6.434,1,0.0335,0.209,1.99e-06,0.369,0.237,80.012,6
Holy Diver,Killswitch Engage,3a9urnht8HvfFzPwd0ipx6,0.369,0.995,0,-2.584,0,0.12,7.6e-05,0.00589,0.241,0.27,185.985,4
Rock And Roll All Nite,KISS,6KTv0Z8BmVqM7DPxbGzpVC,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,15
Youth Gone Wild,Skid Row,1jF5Id0OPFU1Mae8BEUF5u,0.536,0.72,7,-11.277,0,0.0436,0.00202,0.000127,0.357,0.633,117.367,11
Way down We Go,KALEO,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,3
Colors,Crossfade,1ZtVN326V42hioNyRjU4P2,0.337,0.835,2,-6.351,0,0.057,0.00174,0.0,0.0945,0.418,87.561,11
Citizen Radio,Egypt Central,5Zs8pdS4bgBqX3uSTdvNQY,0.532,0.889,1,-5.474,1,0.0543,6.57e-05,0.00706,0.0943,0.508,93.994,6
Your Song,Elton John,38zsOOcu31XbbYj9BIPUF1,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,3
Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,1
Jane Says,Jane's Addiction,7c1Dar0pIAW7w5TzaGjt9t,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,6
The End of Heartache,Killswitch Engage,6WrusttQhWlojn3WKlPTaY,0.469,0.976,0,-3.569,0,0.111,0.000287,0.217,0.0636,0.222,124.001,11
Reelin' In The Years,Steely Dan,1I7zHEdDx8Ny5RxzYPqsU2,0.523,0.758,2,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437,15
Cochise,Audioslave,1TDk2Jmi4dVZhm2dum3Jim,0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,13
Night Moves,Bob Seger,6UBjSnyP1O5W5ndJoO9vUk,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,6
Any Way You Want It,Journey,71SvEDmsOwIWw1IozsZoMA,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,4
Whore,In This Moment,2tAzcTFry1OhmNERFjUR93,0.604,0.883,11,-3.821,0,0.047,0.0254,0.0,0.0813,0.544,90.001,7
Always,Saliva,7kpa6MWRrPaF3b6C0DgioK,0.363,0.906,1,-4.415,1,0.0615,0.0122,0.0,0.172,0.371,181.964,4
Still of the Night - 2018 Remaster,Whitesnake,7AtwQRLPdttsxcLM5tPL0t,0.334,0.854,4,-7.531,0,0.0494,0.00235,0.00114,0.158,0.284,100.175,11
Lit Up,Buckcherry,1OBMSzh2ocRqK2gUFaMBSM,0.652,0.871,5,-3.136,0,0.034,0.000535,1.23e-05,0.357,0.938,128.822,7
Only God Knows Why,Kid Rock,1rAzW6aco1ZtxLRx4XOagB,0.628,0.749,4,-5.18,1,0.03,0.0569,0.00204,0.134,0.31,129.2,6
Inside the Fire,Disturbed,5cxp9kjCFyJwzv3lzeX7ku,0.463,0.962,7,-6.43,1,0.0704,0.000233,0.109,0.0906,0.66,94.003,1
Radio/Video,System Of A Down,41pOIT2t1rvr2Trg1HQChZ,0.358,0.921,6,-2.467,0,0.0695,0.171,7.64e-06,0.358,0.476,139.256,11
Remember Everything,Five Finger Death Punch,4G2GSsAneHpcG5J8cKGXyw,0.368,0.824,1,-4.07,0,0.0401,0.00943,0.0,0.11,0.12,161.974,4
Are You Gonna Be My Girl,Jet,305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,6
New Divide,Linkin Park,6Wx88Mv6b9ofjKMKkdwOJd,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,11
Them Bones,Alice In Chains,4A065x9kJt955eGVqf813g,0.159,0.946,9,-5.756,1,0.0629,0.0235,8.06e-06,0.387,0.309,165.014,4
I Want To Break Free - Single Remix,Queen,2AkmdLbVKS1steeZdy8H1l,0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,17
Love Of My Life - Remastered 2011,Queen,4YJUTdZ0Pgl0ZeNyHYXeLd,0.329,0.179,5,-11.589,1,0.0299,0.933,5.04e-06,0.115,0.255,154.175,3
When I See You Smile,Bad English,0tKjVEJlX3IZ5L1rEJc5hh,0.495,0.609,7,-9.902,1,0.0339,0.42,0.0,0.187,0.33,135.671,13
Tom Sawyer,Rush,3QZ7uX97s82HFYSmQUAN1D,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,1
Blitzkrieg Bop - 2016 Remaster,Ramones,4KcH1ZRV2W1q7Flq0QqC76,0.385,0.783,9,-2.533,1,0.233,0.000269,0.47,0.108,0.902,176.701,4
Dig,Mudvayne,7vrLphPq4yjaX7jiDdd2Nc,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,11
A Place for My Head,Linkin Park,5rAxhWcgFng3s570sGO2F8,0.603,0.908,11,-5.254,1,0.184,0.0144,0.0,0.671,0.457,133.063,12
Breaking the Habit,Linkin Park,3dxiWIBVJRlqh9xk144rf4,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,11
Feed the Wolf,Breaking Benjamin,7rOv6HovIJvYHXCg0cVfTk,0.4,0.982,8,-2.147,1,0.123,3.15e-05,8.2e-05,0.133,0.384,155.046,4
I Am the Highway,Audioslave,3bwAS8cN7Xtzvv5UurJOOX,0.341,0.662,9,-5.023,0,0.0335,0.105,0.0,0.113,0.2,174.875,4
Voodoo,Godsmack,7cPt6AnMcdZCqsNY9Lyhjk,0.777,0.661,0,-8.345,0,0.0493,0.172,1.58e-06,0.147,0.848,120.015,0
Waking Lions,Pop Evil,1VMSib83ZkffP22T64hxot,0.507,0.973,6,-2.905,1,0.176,2.1e-05,0.0329,0.346,0.706,143.075,4
Cat Scratch Fever,Ted Nugent,0SvfyHYDp2uIsHt53LDlI9,0.549,0.916,4,-4.185,0,0.034,0.0049,0.123,0.104,0.632,127.131,11
Warriors,Imagine Dragons,1lgN0A2Vki2FTON5PYq42m,0.365,0.851,4,-6.238,0,0.065,0.0964,0.003,0.238,0.309,78.068,11
The Heart from Your Hate,Trivium,5yDJpu0xh0d1w13gXaE3lS,0.582,0.928,10,-4.659,0,0.0635,0.00876,5.03e-06,0.297,0.565,113.043,11
Shadow of the Day,Linkin Park,0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,13
Violent Pornography,System Of A Down,249Z7XT6mf8B2zuI0RaeS0,0.459,0.958,6,-2.333,1,0.0877,0.0283,0.0,0.108,0.586,142.707,4
Chelsea Dagger,The Fratellis,1bCmvezFg5MRcENzCGG1Cy,0.511,0.815,7,-3.14,1,0.144,0.0491,0.0,0.0826,0.586,154.514,4
Piano Man,Billy Joel,3FCto7hnn1shUyZL42YgfO,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,3
I Apologize,Five Finger Death Punch,6rLrVRpM8XY6UZAIl15JWV,0.505,0.929,9,-4.69,0,0.0529,0.00068,0.0,0.167,0.419,77.991,11
Buried Alive,Avenged Sevenfold,4veeNpXDK1YRHMTJ1Cppsg,0.607,0.804,9,-5.209,0,0.0296,0.00116,0.0,0.159,0.469,139.983,11
When Worlds Collide,Powerman 5000,6aF5JtQSrh7wNrkDE9B0My,0.56,0.903,11,-4.77,1,0.0754,0.00132,0.0,0.291,0.581,143.821,1
So Far Away,Avenged Sevenfold,7Hr1Ignop7cymbE3FbOtXa,0.286,0.703,4,-4.491,0,0.0348,0.00847,7.39e-05,0.142,0.259,151.297,4
Eagle Birds,The Black Keys,04mV3n8ZNGHvhxdJSyxE9d,0.512,0.78,11,-4.946,0,0.0409,0.0471,0.0242,0.0856,0.609,93.998,7
The Pride,Five Finger Death Punch,2tbMiz9p19QbSJlbHiMs2y,0.492,0.987,4,-3.398,1,0.122,8.96e-06,0.0,0.231,0.354,103.98,6
Crazy Little Thing Called Love - Remastered 2011,Queen,6xdLJrVj4vIXwhuG8TMopk,0.599,0.761,0,-6.887,1,0.0421,0.713,4.74e-06,0.349,0.712,77.015,10
Not Gonna Die,Skillet,2jfk3m8nq5IvB35s2xIs1O,0.445,0.953,5,-2.463,0,0.0704,0.0106,0.0,0.281,0.475,172.063,4
Lying from You,Linkin Park,4qVR3CF8FuFvHN4L6vXlB1,0.535,0.951,3,-3.324,0,0.18,0.00777,0.0,0.0669,0.723,160.102,19
When The Seasons Change,Five Finger Death Punch,6Q3LRRTIam8TJAFF25nwnf,0.498,0.894,4,-6.628,0,0.0308,0.00142,0.0,0.0754,0.544,156.072,11
Morph,Twenty One Pilots,01vv2AjxgP4uUyb8waYO5Y,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,20
A Reason to Fight,Disturbed,1IbaGRC0Yrovu3MP1ipf1u,0.591,0.571,6,-5.573,0,0.0248,0.0158,0.0,0.13,0.26,75.04,11
Chaos And Earthquakes,Nonpoint,2imkodSyg1hOZwZuE2fJdU,0.524,0.843,10,-5.578,0,0.0536,0.000417,0.125,0.375,0.212,85.993,11
Fell In Love With a Girl,The White Stripes,21Qsj3cMVCx2xF2EVVNbEu,0.356,0.982,4,-1.574,0,0.112,0.713,0.00145,0.941,0.299,95.754,12
